001,5950
600,4665
500,2489
002,2467
000,2425
305,2279
*,1723
UNK,762
NI,145
100,136
306,50
401,24
999,18
109,8
1,7
2,4
0HP,4
102,3
CST,3
105,3
303,3
403,2
112,2
301,2
0LP,2
115,1
300,1
304,1
405,1
